id,birth_ym,gender,retirement_age,address,zipcode,per_capita_income_in_usd,yearly_income_in_usd,total_debt_id_usd,credit_score,num_credit_cards
1033,2002-02-01,Female,58,352 George Street,48059,16598,33844,42109,684,2
1024,1953-04-01,Male,67,554 Grant Boulevard,67002,32162,65573,143069,739,4
431,2000-03-01,Female,72,973 Federal Avenue,36526,25495,51984,79152,691,3
165,1986-02-01,Male,65,95266 Bayview Drive,94611,52813,107683,225017,694,3
353,1996-02-01,Female,69,932 Essex Street,92571,16109,32847,33514,721,2
1758,1963-01-01,Male,66,126 Valley Drive,39203,11061,22556,43260,645,4
1266,1984-09-01,Female,54,239 South Drive,21001,22590,46063,106528,618,1
1943,2000-09-01,Female,65,1134 Valley Drive,06032,46762,95348,71972,706,3
792,1992-01-01,Female,65,5863 Grant Avenue,66092,22158,45180,13168,698,2
1055,1982-04-01,Male,69,3472 11th Avenue,32806,15137,30865,55079,594,1
1159,1999-11-01,Male,69,5590 Bayview Avenue,48006,20377,41543,49021,732,4
1115,1966-09-01,Male,73,94 Jefferson Drive,75701,14811,30198,40950,693,6
38,1974-12-01,Female,64,582 Birch Boulevard,33916,19621,40006,72794,621,1
1027,1966-05-01,Male,68,809 Mountain View Boulevard,66061,30232,61646,0,693,3
11,1980-10-01,Female,67,6339 Fourth Street,21136,33175,67643,0,714,6
871,1933-05-01,Female,71,81 Hill Avenue,48206,13820,22650,0,690,6
746,1956-10-01,Male,67,28136 Wessex Street,11203,14856,30288,42745,689,4
1520,1952-10-01,Male,65,8787 Rose Avenue,94112,22549,47213,1082,789,5
1372,1943-10-01,Female,66,96 Ninth Lane,74849,15005,28215,18116,697,2
1799,1987-04-01,Male,55,3249 12th Drive,98077,51751,105515,192458,646,4
1905,1983-12-01,Male,68,9340 Valley Street,34205,13972,28489,6087,808,4
130,1956-09-01,Female,69,6429 Fifth Avenue,28274,39752,81048,156195,781,4
1990,2000-12-01,Female,62,849 George Avenue,21601,23180,47263,74853,726,2
593,2000-07-01,Male,71,804 Seventh Boulevard,96002,16585,33816,77770,635,1
540,1994-09-01,Female,69,76009 Valley Stream Boulevard,60085,15770,32160,62803,634,1
663,1951-03-01,Female,63,6398 Lake Lane,37067,36563,70554,39078,655,5
1987,1956-09-01,Male,62,786 12th Drive,60090,23098,33686,24997,488,2
1484,1927-08-01,Female,72,290 Forest Street,85749,30818,57732,2261,726,6
417,1998-03-01,Male,65,320 Hillside Lane,38114,10730,21879,69638,762,1
298,1991-05-01,Male,65,437 Ocean View Drive,16801,25031,51041,106989,686,1
306,2002-01-01,Male,69,9850 Birch Drive,02132,34519,70380,106797,725,2
607,1994-08-01,Male,64,55 Third Drive,60707,20902,42617,67590,771,5
1769,1944-07-01,Male,65,177 Mill Boulevard,08050,21861,46031,8332,661,5
698,1964-10-01,Female,66,886 Little Creek Drive,12054,31927,65094,23909,699,3
896,1993-02-01,Female,65,327 Seventh Boulevard,40505,18278,37268,50388,626,1
1975,1967-02-01,Female,67,8224 Fourth Drive,06706,19114,38972,44098,738,3
645,1957-02-01,Female,64,174 Catherine Boulevard,90222,13075,26661,42667,750,5
227,1971-09-01,Male,66,496 Hill Lane,55404,40364,82295,1555,736,4
84,1972-09-01,Male,68,23068 Park Street,28643,12630,25748,41455,738,3
1684,1963-11-01,Male,65,27019 Madison Lane,37708,13668,27861,108313,782,5
745,2001-12-01,Male,72,293 First Boulevard,92374,23820,48561,0,752,1
1508,1953-04-01,Female,69,8929 Essex Drive,47401,19125,38999,64875,747,4
1158,1957-04-01,Male,66,1569 George Boulevard,27807,16239,33112,56040,716,2
1427,1985-10-01,Female,66,326 Elm Lane,28274,49477,100880,210445,770,1
352,1997-11-01,Male,65,32 Valley Drive,93030,18175,37058,50548,680,2
1948,1995-03-01,Male,58,4132 Norfolk Boulevard,20722,23166,47234,89154,685,3
724,1974-05-01,Female,72,819 El Camino Boulevard,74023,17237,35142,107898,731,4
1559,1963-12-01,Female,67,607 George Boulevard,30101,28862,58846,126806,746,3
1199,1990-06-01,Male,68,704 Eighth Avenue,13480,19161,39069,63884,720,2
1745,2000-02-01,Female,65,8643 Lafayette Boulevard,30046,24252,49449,30723,728,3
1950,1980-03-01,Female,73,63 Plum Street,42638,10942,22312,39445,720,5
1397,1987-04-01,Male,72,5381 12th Boulevard,74354,17845,36388,92949,710,4
873,1967-08-01,Female,68,65 Fifth Boulevard,34769,22086,45037,31792,710,3
1728,1972-10-01,Female,63,2614 Eighth Lane,54981,18937,38615,74337,601,4
299,1979-07-01,Male,61,196 Plum Lane,10460,13845,28229,55675,622,5
1742,1961-11-01,Female,67,444 Maple Avenue,46062,24638,50232,1218,751,4
1004,1960-05-01,Male,66,868 Maple Drive,42345,16847,34350,61639,705,3
301,1972-11-01,Male,69,6009 River Avenue,30114,25654,52308,135319,679,1
1011,1992-08-01,Female,66,2058 Spruce Street,33705,15724,32061,58904,676,1
906,1945-02-01,Male,69,6930 East Lane,84074,21749,21154,5764,705,6
1073,1976-05-01,Female,70,967 First Avenue,46562,17294,35264,70328,770,2
705,1935-09-01,Female,71,136 Hillside Avenue,94598,42234,79870,4031,609,2
820,1949-12-01,Female,59,669 South Street,02630,26762,41902,29713,633,5
1188,1995-08-01,Female,61,66992 Second Street,89131,31374,63969,128412,626,1
1128,1972-07-01,Male,68,208 Park Avenue,05850,16976,34606,23909,680,5
1479,1987-11-01,Male,60,335 Main Street,30310,13059,26631,33950,805,1
1594,1980-11-01,Male,64,532 12th Drive,32909,17645,35978,49366,643,3
1485,1955-10-01,Male,69,1350 Lake Drive,75495,24402,49756,89743,618,4
1390,1982-06-01,Male,71,691 First Lane,37201,29868,60897,85771,850,3
644,1961-03-01,Female,65,511 Grant Avenue,30534,20581,41963,53857,741,1
1912,1982-07-01,Female,60,3510 Mountain View Street,55404,22059,44976,134335,684,1
1584,1992-09-01,Male,69,9264 Lake Avenue,75052,22922,46733,34333,692,2
1803,1993-04-01,Female,60,596 Mountain View Lane,02632,23129,47160,64193,578,1
1824,1996-07-01,Male,65,374 East Lane,47906,24737,50433,97029,838,3
340,1999-08-01,Male,63,51 George Avenue,98023,25363,51713,86165,809,1
650,1974-08-01,Male,65,3916 Tenth Boulevard,76102,11876,24215,28552,707,6
762,1970-09-01,Male,59,813 Fifth Boulevard,43314,18293,37298,52134,683,1
1061,1994-12-01,Male,67,8931 Norfolk Drive,85203,19844,40457,68826,739,1
702,1973-07-01,Female,68,33 Tenth Street,11746,34873,71103,136853,721,4
918,1976-05-01,Female,75,5528 Lake Lane,15057,14320,29194,10895,703,2
1137,1967-10-01,Male,67,8824 Hillside Avenue,28792,16410,33465,98713,669,3
1406,1983-07-01,Male,68,57 Pine Boulevard,74114,11633,23718,1386,712,2
437,1973-06-01,Female,66,9528 Hill Street,21012,35645,72670,28915,718,3
806,1995-04-01,Female,67,8251 Park Lane,43017,38243,77972,6128,686,3
891,1981-10-01,Female,66,177 Maple Boulevard,72956,17093,34854,40722,746,5
701,1991-12-01,Female,59,7087 Plum Street,33705,26476,53984,76118,701,1
1147,1939-03-01,Male,69,614 Spruce Avenue,08889,46827,104692,6955,704,2
1625,1995-05-01,Female,66,625 Washington Lane,98033,49629,101191,290730,659,1
1664,1981-10-01,Male,66,311 Fifth Drive,48104,34119,69566,50003,791,4
1273,1998-04-01,Male,71,966 Sussex Boulevard,60181,24223,49382,43126,762,1
1009,1979-01-01,Female,65,9059 Eighth Avenue,28705,14093,28733,0,702,3
1341,1932-08-01,Male,72,4713 First Boulevard,46725,19914,30349,2985,686,4
925,1988-03-01,Male,68,4165 Valley Avenue,62034,28710,58538,93153,610,1
824,1987-08-01,Female,66,38 Catherine Boulevard,33705,18100,36901,23293,695,4
563,1950-01-01,Male,65,3485 Federal Avenue,19330,24725,49531,6707,737,6
1612,1951-08-01,Male,66,198 Main Boulevard,60608,20649,35370,14777,562,1
1700,1975-01-01,Female,62,891 Fourth Avenue,44691,18962,38666,116783,822,1
963,1995-12-01,Female,70,8094 Catherine Lane,01851,20458,41714,54541,687,3
904,1987-08-01,Male,66,41 Plum Boulevard,22511,12018,24505,52405,759,1
1586,1977-01-01,Male,65,2974 Grant Avenue,11580,27778,56640,104134,672,4
1286,1966-10-01,Female,67,456 Lincoln Boulevard,14127,30202,61578,85383,602,2
719,1966-11-01,Female,66,1959 Forest Street,61107,24589,50139,109623,767,3
1469,1998-12-01,Male,68,74 Hill Avenue,67467,16990,34646,54205,759,1
930,1998-01-01,Male,65,5274 Martin Luther King Lane,76102,12274,25024,29227,691,2
1814,1979-01-01,Female,68,136 South Street,60608,16114,32856,26535,703,3
1723,1978-10-01,Female,66,560 Summit Street,62049,17696,36080,80443,839,3
1377,1987-11-01,Female,68,593 Washington Drive,75040,14535,29637,56446,569,3
470,1964-02-01,Male,65,281 Martin Luther King Avenue,74884,14004,28553,94214,747,3
1804,2001-09-01,Male,65,1335 Norfolk Drive,02536,21335,43499,108468,701,4
229,1984-06-01,Female,57,47428 First Boulevard,52333,29059,59248,173887,725,5
1512,1975-06-01,Male,65,6995 North Drive,46202,32865,67008,81402,778,8
1543,1988-10-01,Female,68,5857 12th Avenue,91403,51976,105963,106266,684,4
147,1989-04-01,Male,66,4096 Sussex Avenue,36106,27653,56383,130152,800,4
1941,1981-08-01,Male,78,2867 Federal Drive,75422,18934,38609,27463,740,3
901,1971-09-01,Male,66,96 11th Street,32503,17987,36671,39882,850,3
191,1991-10-01,Male,65,654 Elm Drive,30331,19550,39860,112825,728,1
12,2002-02-01,Female,63,345 George Avenue,22980,18531,37785,58187,748,1
1828,1969-06-01,Male,68,35 Hillside Drive,60608,0,2466,5521,711,2
29,1951-08-01,Female,60,318 Spruce Boulevard,01904,18682,27358,13557,665,2
181,1994-01-01,Female,65,118 12th Avenue,30127,25025,51024,181184,602,1
995,1979-05-01,Female,64,1752 Martin Luther King Avenue,73129,49868,101679,307856,592,1
1218,1999-06-01,Male,71,982 Plum Boulevard,90262,13632,27801,0,754,1
171,1976-05-01,Female,70,5194 Grant Street,29607,24314,49577,142314,694,3
1401,1995-11-01,Male,71,9713 Fourth Lane,93740,17985,36672,49660,739,2
1314,1976-11-01,Male,70,857 Jefferson Avenue,78130,19325,39404,71859,723,5
1560,1958-05-01,Female,60,1861 Fourth Boulevard,50516,18849,18452,16827,741,6
613,1980-09-01,Female,69,7549 Fourth Lane,60148,27741,56562,111495,712,4
346,1929-11-01,Female,74,495 Ocean View Lane,93103,25249,48580,1785,687,7
812,1978-04-01,Female,67,6946 Park Drive,03451,20338,41469,119423,659,1
13,1967-06-01,Female,61,4222 Ocean View Drive,40121,15879,32378,65919,588,4
657,1936-11-01,Female,68,2780 Martin Luther King Drive,56258,20697,33897,533,705,4
183,1995-12-01,Female,65,84 Second Lane,60608,18937,38609,39867,798,3
1792,2001-11-01,Female,68,1987 Hillside Lane,05033,15062,30712,38054,723,2
1599,1997-07-01,Male,68,71 Madison Street,79906,16011,32645,59851,790,3
1267,1938-10-01,Female,65,9574 Ocean Drive,98037,28248,31912,2182,630,4
411,1990-01-01,Male,67,649 Sussex Street,13601,18401,37521,65701,775,2
350,1957-08-01,Female,70,102 Seventh Avenue,20701,28673,58463,141151,737,4
1323,1983-03-01,Female,68,28 Second Boulevard,88045,15407,31414,42233,719,4
934,1987-12-01,Female,63,2017 Ninth Drive,14817,20159,41106,106963,762,3
421,1967-01-01,Female,67,595 Valley Stream Drive,52401,22502,45876,58252,790,7
223,1982-10-01,Female,67,3748 Mountain View Drive,95747,28760,58637,87340,803,6
1402,1984-10-01,Male,63,626 Federal Drive,72204,47364,96574,265319,590,3
1650,2002-02-01,Male,67,701 Pine Drive,07304,21642,44128,142368,687,3
354,1942-08-01,Female,72,9 Plum Boulevard,80909,22185,31942,11845,713,6
314,1992-06-01,Male,66,1039 Bayview Drive,20164,28410,57927,87736,557,1
1457,1999-06-01,Male,66,11162 Oak Drive,50315,22425,45725,102164,688,4
1613,1980-12-01,Male,65,4784 Park Boulevard,04917,21647,44134,0,792,4
945,2001-02-01,Male,66,751 Birch Avenue,92109,27748,56579,79726,705,2
586,1983-02-01,Male,63,372 12th Boulevard,28805,22983,46864,58954,751,4
119,1975-09-01,Female,67,60 Little Creek Avenue,89145,27761,56605,87970,624,3
1312,1988-04-01,Female,66,5190 Grant Street,95121,25115,51209,76900,765,1
1529,1968-04-01,Male,69,310 Birch Avenue,33060,37424,76305,112785,692,3
326,2001-03-01,Male,61,644 Birch Avenue,15317,30076,61325,83899,652,1
1596,1977-03-01,Male,69,188 Washington Avenue,91340,15583,31772,17286,734,4
714,1958-10-01,Female,67,72 Second Street,97068,35992,73383,155191,760,2
887,1964-04-01,Male,66,3999 West Lane,01524,26137,53287,51026,816,4
1425,1931-04-01,Female,67,95 Sixth Avenue,38054,19115,19225,1644,809,8
1645,1957-11-01,Female,65,58 Federal Lane,44116,29692,60541,160456,716,3
1863,1975-12-01,Female,61,25 Hill Drive,49015,21639,44124,107162,850,1
1576,1932-01-01,Female,65,2947 Lake Lane,48328,24578,36764,839,712,8
1268,1972-09-01,Male,63,857 Catherine Avenue,35957,14516,29597,44388,513,4
1565,1983-01-01,Female,66,33 Mill Street,41011,18959,38656,47523,584,1
1842,1974-10-01,Male,64,41307 Main Lane,87107,15385,31373,58481,637,2
664,1997-04-01,Female,68,751 Fifth Street,17801,16519,33681,78326,697,2
485,1980-10-01,Male,64,6889 Summit Lane,93430,18740,38211,84427,665,2
244,1979-07-01,Female,62,8100 Hill Avenue,32351,13144,26802,43444,638,2
145,1962-01-01,Female,65,645 Hillside Lane,37687,12427,25334,182,696,3
866,1985-03-01,Male,67,4591 Third Drive,15203,30361,61904,125358,639,3
427,1975-11-01,Female,66,33 Pine Lane,38503,15955,32527,74331,705,3
684,1969-02-01,Male,63,1246 11th Boulevard,33304,21661,44170,90049,661,7
1643,1991-06-01,Female,64,233 Oak Drive,97080,22599,46077,101450,686,1
1300,1961-03-01,Male,66,4988 Ocean View Lane,71446,11324,23092,20545,752,4
283,2000-11-01,Male,69,74 Birch Avenue,80736,15064,30710,30956,680,2
355,1997-11-01,Female,62,415 Madison Boulevard,74047,19856,40491,81879,691,2
1669,1975-05-01,Male,62,6308 Maple Avenue,95691,25234,51454,151162,698,4
937,1973-01-01,Female,63,430 Sixth Avenue,10502,46169,94133,189899,603,1
845,1961-08-01,Male,72,860 Seventh Avenue,32548,18005,36710,116794,786,5
1518,1957-08-01,Male,70,313 Martin Luther King Boulevard,35670,18533,37785,81500,745,3
1591,1961-06-01,Female,66,2200 Third Drive,98277,16537,33717,58236,698,6
1172,1970-02-01,Male,64,5154 Sixth Avenue,95210,14709,29994,100834,769,1
1629,1977-06-01,Female,63,53789 Bayview Street,33304,14430,29422,58679,598,1
675,1980-01-01,Male,67,42 Martin Luther King Drive,17252,17405,35489,91995,724,5
854,1994-02-01,Female,65,3716 North Boulevard,60560,29281,59699,71110,688,1
1261,1961-07-01,Male,70,610 Oak Street,97212,33737,68787,171854,527,1
1227,1954-11-01,Female,67,727 Eighth Lane,48170,33031,67344,7049,804,4
840,1952-01-01,Female,64,651 Fourth Avenue,94131,51692,88432,63075,694,6
733,1983-07-01,Male,68,895 Lexington Lane,76712,26061,53138,153374,606,4
454,1931-04-01,Female,65,9192 Birch Lane,58103,22214,38523,49,751,5
768,1966-10-01,Female,67,709 River Lane,19009,34043,69412,177225,620,1
817,1993-05-01,Male,67,91 Lake Street,70129,32314,65888,162364,803,2
78,1983-01-01,Male,63,5320 Mountain View Street,90044,12362,25205,65179,688,1
1334,1981-04-01,Female,65,17 Tenth Avenue,14150,19433,39627,47793,718,4
1610,1978-01-01,Female,66,12150 Mill Boulevard,39203,13717,27967,50159,690,2
1308,1984-02-01,Female,67,28 Lexington Drive,98042,28919,58964,71890,619,1
780,1945-11-01,Male,66,41 Rose Lane,02465,56720,58378,73124,652,1
1340,1966-08-01,Male,68,815 Hillside Drive,77019,26420,53872,64269,691,5
1888,1944-06-01,Female,59,7854 Plum Avenue,55024,28429,41513,15899,748,3
247,1970-07-01,Female,69,704 East Drive,70601,26772,54587,69070,761,6
238,1997-06-01,Male,62,9261 Little Creek Lane,44089,20400,41595,54451,675,1
915,1975-04-01,Male,64,936 Mill Street,13112,22047,44953,97076,728,1
1927,1991-05-01,Male,65,35 Sixth Boulevard,46803,17264,35199,68569,739,2
1658,1991-03-01,Female,59,8128 Hillside Avenue,60804,13891,28324,62363,695,2
1208,1981-09-01,Male,72,9541 Ocean View Drive,17044,16375,33387,69066,526,3
1255,1995-09-01,Male,67,9614 Ocean View Drive,37327,15209,31006,71031,681,2
85,1990-04-01,Male,60,8016 Norfolk Drive,28533,16006,32636,42290,782,1
1382,1961-07-01,Male,65,16 Eighth Lane,75223,12693,25883,44404,706,4
1217,1960-12-01,Female,66,584 Bayview Street,85032,22070,44992,53368,785,3
514,1961-08-01,Male,72,967 Norfolk Avenue,32901,15840,32295,72357,698,4
232,1962-05-01,Female,66,186 First Drive,12533,33919,69159,135111,786,3
445,1977-12-01,Female,59,9864 Fifth Lane,49642,6201,12643,19299,645,1
1206,1985-09-01,Female,65,862 11th Drive,94596,42685,87030,161964,727,3
1276,1937-06-01,Female,66,7236 South Boulevard,60608,25365,41793,1141,730,5
875,1981-02-01,Male,71,5944 Grant Avenue,35406,20553,41907,87163,728,4
1546,1971-11-01,Male,61,70 Second Drive,03263,19781,40336,144284,668,4
422,2000-11-01,Female,62,5378 Lafayette Avenue,43201,15539,31683,46987,817,4
519,1962-06-01,Female,67,839 East Avenue,89142,19377,39508,18870,770,4
1408,1978-02-01,Male,67,209 George Avenue,29042,12189,24859,43986,683,2
1204,1977-06-01,Male,67,583 El Camino Boulevard,02050,34059,69440,129944,743,3
1133,1989-10-01,Female,66,781 Federal Street,14514,22855,46599,12700,684,4
1035,1997-06-01,Male,71,3132 Lake Avenue,95608,24781,50525,118160,701,2
710,1959-09-01,Female,68,29 12th Avenue,61010,25698,52397,72810,729,3
582,1966-08-01,Male,63,415 Lafayette Drive,46710,19236,39222,66559,583,3
821,1946-07-01,Male,60,833 Elm Lane,77019,12434,18015,10463,645,2
1352,1954-03-01,Female,64,8437 Sixth Street,49686,20035,42102,9645,672,3
831,1983-10-01,Male,66,547 Norfolk Boulevard,52201,18302,37316,37515,726,2
578,1944-08-01,Male,71,5934 Essex Boulevard,40505,14920,20797,10127,777,1
1997,1943-08-01,Male,69,765 Forest Street,55343,39155,38800,25867,758,7
